			*****	 Throughput (Kbits/s)	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	System
2.0		0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	266
2.0		0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
2.1		0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	266
2.1		0	0	266	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0	800
2.1		0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
2.2		0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
2.2		0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
2.2		0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	533
2.3		0	0	0	266	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	533
2.3		0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	533
2.3		0	0	0	0	0	0	266	0	0	0	0	0	266	0	0	0	0	0	0	0	533
2.3		0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
2.4		0	0	0	0	0	0	266	0	266	0	0	0	0	0	0	0	0	0	0	0	533
2.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	266
2.4		0	266	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	533
2.5		0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	266
2.5		0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	266
2.5		0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	533
2.5		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	266	0	533
2.6		0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	266	0	533
2.6		0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	266
2.6		0	0	0	0	0	0	0	0	533	0	0	266	0	0	0	0	0	0	0	0	800
2.7		0	0	266	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	533
2.7		0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	266
2.7		0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	266
2.8		0	266	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	533
2.8		0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	266
2.8		0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
2.8		0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
2.9		0	0	0	0	0	0	0	0	0	0	0	266	266	0	0	0	0	0	0	0	533
2.9		0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	266	0	0	0	0	533
2.9		0	266	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	266	800
3.0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	266
3.0		0	0	266	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533
