			*****	 Packet Queue Length	*****


Time (sec)	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	
2.1		14	13	10	12	10	10	12	10	12	13	10	8	14	8	12	9	11	9	12	12	
2.1		14	13	9	12	10	10	12	10	12	13	10	6	14	8	12	9	11	9	12	12	
2.1		14	13	8	12	10	10	12	10	12	13	10	6	14	8	12	9	11	9	12	12	
2.2		15	14	9	12	11	11	13	11	13	14	11	7	15	9	13	10	12	10	13	13	
2.2		15	13	9	12	11	11	13	11	13	14	11	7	15	9	13	10	12	10	13	13	
2.2		15	13	9	12	10	11	13	11	13	14	11	7	15	9	13	9	12	10	13	13	
2.3		15	13	9	11	10	11	13	11	13	14	11	7	15	8	13	9	12	10	13	13	
2.3		16	13	10	12	11	12	14	12	14	15	12	8	16	9	14	10	13	11	14	13	
2.3		16	13	10	12	11	12	13	12	14	15	12	8	15	9	14	10	13	11	14	13	
2.3		16	12	10	12	11	12	13	12	14	15	12	8	15	9	14	10	13	11	14	13	
2.4		16	12	10	12	11	12	12	12	13	15	12	8	15	9	14	10	13	11	14	13	
2.4		16	12	10	12	11	12	12	12	13	15	12	8	15	9	14	10	13	11	14	13	
2.4		17	12	11	13	12	13	13	13	14	16	13	9	16	10	14	10	14	12	15	14	
2.5		17	12	11	13	12	13	13	13	14	16	13	9	15	10	14	10	14	12	15	14	
2.5		17	12	11	13	12	13	13	12	14	16	13	9	15	10	14	10	14	12	15	14	
2.5		17	12	11	12	12	13	13	12	14	16	13	9	15	10	14	10	14	12	15	14	
2.5		18	13	12	13	13	14	14	13	15	17	14	10	16	11	15	11	14	12	15	15	
2.6		18	13	12	13	13	14	14	13	15	16	14	10	16	11	15	11	14	12	14	15	
2.6		18	13	12	13	13	14	14	13	15	15	14	10	16	11	15	11	14	12	14	15	
2.6		18	13	12	13	13	14	14	13	13	15	14	10	16	11	15	11	14	12	14	15	
2.7		19	14	12	14	14	15	15	14	14	16	15	10	17	11	16	12	15	13	15	16	
2.7		19	14	12	14	14	15	15	14	14	15	15	10	17	11	16	12	15	13	15	16	
2.7		19	14	12	14	14	15	15	14	14	15	14	10	17	11	16	12	15	13	15	16	
2.8		19	13	12	14	14	15	15	14	14	15	14	10	17	11	16	12	15	13	15	16	
2.8		20	14	13	15	15	16	15	15	15	15	15	11	18	12	17	13	16	14	16	17	
2.8		20	14	13	14	15	16	15	15	15	15	15	11	18	12	17	13	16	14	16	17	
2.8		20	13	13	14	15	16	15	15	15	15	15	11	18	12	17	13	16	14	16	17	
2.9		20	13	13	14	15	16	15	15	15	15	15	11	17	12	17	13	16	14	16	17	
2.9		21	14	14	15	16	17	16	16	16	16	16	11	18	12	18	13	17	15	17	18	
2.9		21	13	14	15	16	17	15	16	16	16	16	11	18	12	18	13	17	15	17	17	
3.0		21	13	14	15	16	17	15	16	16	16	16	11	18	12	18	13	17	14	17	17	
3.0		21	13	13	15	16	16	15	16	16	16	16	11	18	12	18	13	17	14	17	17	
